[Window 00] Range=0-9 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.209196s
[Window 01] Range=1-10 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.202166s
[Window 02] Range=2-11 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.207104s
[Window 03] Range=3-12 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.204116s
[Window 04] Range=4-13 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.202586s
[Window 05] Range=5-14 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.201199s
[Window 06] Range=6-15 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.199094s
[Window 07] Range=7-16 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.200336s
[Window 08] Range=8-17 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.201658s
[Window 09] Range=9-18 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.200323s
[Window 10] Range=10-19 | Label: GT=0 | Pred=0 | Score=0.0372 | Time=0.201085s
[Window 11] Range=11-20 | Label: GT=0 | Pred=0 | Score=0.0373 | Time=0.199534s
[Window 12] Range=12-21 | Label: GT=0 | Pred=0 | Score=0.0373 | Time=0.201791s
[Window 13] Range=13-22 | Label: GT=0 | Pred=0 | Score=0.0373 | Time=0.198514s
[Window 14] Range=14-23 | Label: GT=0 | Pred=0 | Score=0.0373 | Time=0.200497s
[Window 15] Range=15-24 | Label: GT=0 | Pred=0 | Score=0.0372 | Time=0.201688s
[Window 16] Range=16-25 | Label: GT=0 | Pred=0 | Score=0.0372 | Time=0.200191s
[Window 17] Range=17-26 | Label: GT=0 | Pred=0 | Score=0.0372 | Time=0.202139s
[Window 18] Range=18-27 | Label: GT=0 | Pred=0 | Score=0.0372 | Time=0.201931s
[Window 19] Range=19-28 | Label: GT=0 | Pred=0 | Score=0.0372 | Time=0.198516s
[Window 20] Range=20-29 | Label: GT=0 | Pred=0 | Score=0.0372 | Time=0.202297s
[Window 21] Range=21-30 | Label: GT=0 | Pred=0 | Score=0.0366 | Time=0.198127s
[Window 22] Range=22-31 | Label: GT=0 | Pred=0 | Score=0.0365 | Time=0.201648s
[Window 23] Range=23-32 | Label: GT=0 | Pred=0 | Score=0.0365 | Time=0.199903s
[Window 24] Range=24-33 | Label: GT=0 | Pred=0 | Score=0.0365 | Time=0.200154s
[Window 25] Range=25-34 | Label: GT=0 | Pred=0 | Score=0.0365 | Time=0.201439s
[Window 26] Range=26-35 | Label: GT=0 | Pred=0 | Score=0.0366 | Time=0.199169s
[Window 27] Range=27-36 | Label: GT=0 | Pred=0 | Score=0.0366 | Time=0.200410s
[Window 28] Range=28-37 | Label: GT=0 | Pred=0 | Score=0.0366 | Time=0.201343s
[Window 29] Range=29-38 | Label: GT=0 | Pred=0 | Score=0.0366 | Time=0.200084s
[Window 30] Range=30-39 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.200339s
[Window 31] Range=31-40 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.202203s
[Window 32] Range=32-41 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.198011s
[Window 33] Range=33-42 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.199209s
[Window 34] Range=34-43 | Label: GT=0 | Pred=0 | Score=0.0367 | Time=0.200230s
[Window 35] Range=35-44 | Label: GT=1 | Pred=0 | Score=0.0367 | Time=0.200359s
[Window 36] Range=36-45 | Label: GT=1 | Pred=0 | Score=0.0373 | Time=0.198704s
[Window 37] Range=37-46 | Label: GT=1 | Pred=0 | Score=0.0437 | Time=0.200128s
[Window 38] Range=38-47 | Label: GT=1 | Pred=1 | Score=0.9971 | Time=0.200422s
[Window 39] Range=39-48 | Label: GT=1 | Pred=1 | Score=0.9991 | Time=0.199322s
[Window 40] Range=40-49 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.198769s
[Window 41] Range=41-50 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.199631s
[Window 42] Range=42-51 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.199488s
[Window 43] Range=43-52 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.201791s
[Window 44] Range=44-53 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.201094s
[Window 45] Range=45-54 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.200398s
[Window 46] Range=46-55 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.202144s
[Window 47] Range=47-56 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.200680s
[Window 48] Range=48-57 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.198472s
[Window 49] Range=49-58 | Label: GT=1 | Pred=1 | Score=0.9993 | Time=0.203247s
[Window 50] Range=50-59 | Label: GT=1 | Pred=1 | Score=0.9992 | Time=0.203591s
